Slot,StrongSeed,WeakSeed,StrongSeedID,WeakSeedID,StrongSeedName,WeakSeedName,WinPCT,RNGResult,WinnerID,WinnerName
R1W1,W01,W16,1181.0,1300.0,Duke,NC Central,0.0163541932155572,0.19017464871902579,1300.0,NC Central
R1W2,W02,W15,1277.0,1133.0,Michigan St,Bradley,0.02858595653002105,0.33964062034197606,1133.0,Bradley
R1W3,W03,W14,1261.0,1463.0,LSU,Yale,0.35705902291189306,0.07882998173694,1261.0,LSU
R1W4,W04,W13,1439.0,1387.0,Virginia Tech,St Louis,0.08496344996381823,0.9542675730876008,1387.0,St Louis
R1W5,W05,W12,1280.0,1251.0,Mississippi St,Liberty,0.19697013167401226,0.2532422597003553,1251.0,Liberty
R1W6,W06,W11,1268.0,1396.0,Maryland,Temple,0.7158788560373309,0.7602702126001222,1396.0,Temple
R1W7,W07,W10,1257.0,1278.0,Louisville,Minnesota,0.32213832355130856,0.6292536157933436,1278.0,Minnesota
R1W8,W08,W09,1433.0,1416.0,VA Commonwealth,UCF,0.6581333960032395,0.017514318004741902,1433.0,VA Commonwealth
R1X1,X01,X16,1211.0,1341.0,Gonzaga,Prairie View,0.02283773971000569,0.057874250063678745,1341.0,Prairie View
R1X2,X02,X15,1276.0,1285.0,Michigan,Montana,0.9022883402816768,0.6389428300582918,1276.0,Michigan
R1X3,X03,X14,1403.0,1297.0,Texas Tech,N Kentucky,0.7690351924007963,0.8231316700920476,1297.0,N Kentucky
R1X4,X04,X13,1199.0,1436.0,Florida St,Vermont,0.3702958390301896,0.8450373293100356,1436.0,Vermont
R1X5,X05,X12,1266.0,1293.0,Marquette,Murray St,0.7347823805863636,0.8598243907993127,1293.0,Murray St
R1X6,X06,X11,1138.0,1113.0,Buffalo,Arizona St,0.2299782789483702,0.10116341853413935,1138.0,Buffalo
R1X7,X07,X10,1305.0,1196.0,Nevada,Florida,0.02196341455712858,0.6837900444942254,1196.0,Florida
R1X8,X08,X09,1393.0,1124.0,Syracuse,Baylor,0.5838514426508328,0.22662832217541873,1393.0,Syracuse
R1Y1,Y01,Y16,1314.0,1233.0,North Carolina,Iona,0.14085642210264804,0.045505990843181854,1314.0,North Carolina
R1Y2,Y02,Y15,1246.0,1101.0,Kentucky,Abilene Chr,0.1510571534978129,0.3686035316894867,1101.0,Abilene Chr
R1Y3,Y03,Y14,1222.0,1209.0,Houston,Georgia St,0.5955770935076193,0.9924197985455657,1209.0,Georgia St
R1Y4,Y04,Y13,1242.0,1318.0,Kansas,Northeastern,0.6850716696394146,0.07181854497196594,1242.0,Kansas
R1Y5,Y05,Y12,1120.0,1308.0,Auburn,New Mexico St,0.4170211734793785,0.5298877455239903,1308.0,New Mexico St
R1Y6,Y06,Y11,1235.0,1326.0,Iowa St,Ohio St,0.11822397444699127,0.2732429382447473,1326.0,Ohio St
R1Y7,Y07,Y10,1459.0,1371.0,Wofford,Seton Hall,0.14264321128728752,0.872650616701188,1371.0,Seton Hall
R1Y8,Y08,Y09,1429.0,1449.0,Utah St,Washington,0.07825965983085104,0.9014969791916394,1449.0,Washington
R1Z1,Z01,Z16,1438.0,1205.0,Virginia,Gardner Webb,0.8026517445333448,0.8422693976858417,1205.0,Gardner Webb
R1Z2,Z02,Z15,1397.0,1159.0,Tennessee,Colgate,0.12474653162828075,0.9146773850002047,1159.0,Colgate
R1Z3,Z03,Z14,1345.0,1330.0,Purdue,Old Dominion,0.0411960590090632,0.2304045177868308,1330.0,Old Dominion
R1Z4,Z04,Z13,1243.0,1414.0,Kansas St,UC Irvine,0.8229451537763135,0.15383068057733473,1243.0,Kansas St
R1Z5,Z05,Z12,1458.0,1332.0,Wisconsin,Oregon,0.6962385251888503,0.29893547355422734,1458.0,Wisconsin
R1Z6,Z06,Z11,1437.0,1388.0,Villanova,St Mary's CA,0.35990248297377325,0.8618480964852666,1388.0,St Mary's CA
R1Z7,Z07,Z10,1153.0,1234.0,Cincinnati,Iowa,0.8992076224484371,0.927866786530319,1234.0,Iowa
R1Z8,Z08,Z09,1279.0,1328.0,Mississippi,Oklahoma,0.15575370798067026,0.6111862771038042,1328.0,Oklahoma
