Result,Season,Team1,Team2,deltaSeed,deltaPointsFor,deltaPointsAgainst,deltaFGM,deltaFGA,deltaFGM3,deltaFGA3,deltaFTM,deltaFTA,deltaOR,deltaDR,deltaAst,deltaTO,deltaStl,deltaBlk,deltaPF,deltaWinPct
0,2003,1411,1421,0,1.5931034482758548,-7.6149425287356385,0.3540229885057471,-1.526436781609199,-0.5494252873563212,0.5,1.434482758620689,7.135632183908048,0.8908045977011483,1.6275862068965523,1.1655172413793091,-0.9735632183908064,-0.6356321839080454,-0.7666666666666666,-0.8034482758620669,0.15172413793103445
1,2003,1112,1436,-15,17.42118226600985,7.1120689655172376,5.493842364532021,9.85221674876847,1.759852216748769,4.588669950738918,4.673645320197043,5.448275862068964,2.213054187192119,1.9187192118226584,3.435960591133004,0.7167487684729075,1.6022167487684724,1.248768472906404,1.8534482758620692,0.2376847290640395
0,2003,1272,1113,-3,-1.4482758620689682,-3.3448275862068897,-0.9310344827586228,3.1034482758620716,3.0,7.482758620689657,-2.586206896551726,-3.3103448275862064,0.3793103448275854,2.655172413793103,1.068965517241379,-0.2068965517241388,2.1724137931034484,0.8275862068965516,-0.6551724137931068,0.1724137931034483
1,2003,1141,1166,5,0.10240334378264038,8.908045977011499,-2.076280041797282,-4.76489028213166,-1.142110762800418,-2.553814002089865,5.397074190177636,5.142110762800417,-0.2925809822361547,0.09404388714733257,-1.1974921630094022,4.877742946708466,-1.2904911180773249,-0.4545454545454541,3.692789968652036,-0.08568443051201667
1,2003,1143,1301,-1,2.0827586206896456,1.7586206896551744,3.0114942528735646,5.390804597701149,-1.552873563218391,-5.46551724137931,-2.387356321839082,-0.9494252873563198,1.5080459770114953,2.345977011494252,1.333333333333334,-0.02758620689655089,-1.2149425287356321,-0.2735632183908048,-1.5632183908046002,0.12413793103448277
1,2003,1163,1140,-7,7.581720430107524,7.722580645161294,5.501075268817207,10.94193548387097,-0.1268817204301076,-0.4290322580645167,-3.2935483870967754,-2.0612903225806427,3.895698924731184,3.4806451612903224,2.213978494623655,2.0580645161290327,-1.0021505376344084,5.2172043010752684,-3.0193548387096776,-0.041935483870967794
1,2003,1181,1161,-11,7.966666666666669,-2.2666666666666657,0.9666666666666686,8.233333333333334,3.1333333333333333,9.033333333333337,2.8999999999999986,3.8000000000000007,2.966666666666667,-0.3666666666666636,-1.666666666666666,-2.1,3.166666666666667,0.9000000000000004,0.6999999999999993,0.2333333333333334
0,2003,1153,1211,-1,-9.743087557603687,-6.693548387096769,-3.171658986175117,1.2269585253456228,-0.4827188940092162,0.4354838709677402,-2.9170506912442384,-3.109447004608296,0.2073732718894004,-1.9297235023041492,-3.456221198156681,-3.941244239631336,-1.6278801843317972,0.7338709677419355,0.31912442396313523,-0.13479262672811065
0,2003,1443,1228,9,-2.3365591397849528,5.019354838709682,-1.3903225806451616,0.1032258064516185,0.2763440860215054,0.8655913978494603,0.1677419354838694,1.9967741935483865,2.4279569892473134,-2.1419354838709666,-4.073118279569893,1.99462365591398,0.06451612903225801,0.4483870967741934,-0.681720430107525,-0.0580645161290323
0,2003,1429,1242,13,-15.36666666666666,-6.2666666666666595,-6.533333333333335,-10.366666666666667,-0.7666666666666666,-2.0,-1.5333333333333332,-3.899999999999999,-1.666666666666668,-4.533333333333331,-2.833333333333334,-2.666666666666668,-5.066666666666666,-2.9000000000000004,-0.5999999999999979,-0.03333333333333344
1,2003,1266,1221,-11,9.048029556650247,9.471674876847297,3.0073891625615765,3.525862068965516,0.4753694581280783,0.4913793103448274,2.5578817733990125,1.4692118226600996,1.0381773399014786,-0.23891625615763346,0.9076354679802972,-0.3596059113300498,-1.9655172413793105,-0.8399014778325121,0.2635467980295552,-0.04064039408866993
0,2003,1356,1281,5,2.759139784946228,1.6161290322580584,1.205376344086023,-1.3268817204301089,-1.3838709677419354,-5.134408602150538,1.7322580645161292,1.2387096774193544,-2.650537634408602,-3.436559139784947,-0.17526881720430154,-1.1129032258064522,2.2569892473118283,-1.12258064516129,2.462365591397848,0.1225806451612904
